Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15195,The Complete Maus,Art Spiegelman,"Spiegelman, Art",,"=""0141014083""","=""9780141014081""",5,4.58,Penguin Books,Paperback,296,2003,1980,2024/09/07,2024/09/01,owned,owned (#15),read,,,,1,0
37941619,Berlin,Jason Lutes,"Lutes, Jason",,"=""1770463267""","=""9781770463264""",0,4.45,Drawn and Quarterly,Hardcover,580,2018,2018,,2024/09/07,to-read,to-read (#163),to-read,,,,0,0
3106983,Persepolis: The Story of a Childhood and The Story of a Return,Marjane Satrapi,"Satrapi, Marjane",Anjali Singh,"=""009952399X""","=""9780099523994""",4,4.40,Vintage,Paperback,344,2008,2007,2024/08/30,2024/07/22,owned,owned (#5),read,,,,1,0
201305448,"Downfall: Putin, Prigozhin, and the fight for the future of Russia",Anna Arutunyan,"Arutunyan, Anna",,"=""1529927374""","=""9781529927375""",0,4.03,Ebury Digital,Kindle Edition,262,2024,,,2024/08/28,to-read,to-read (#162),to-read,,,,0,0
22237163,One of Us: The Story of Anders Breivik and the Massacre in Norway,Åsne Seierstad,"Seierstad, Åsne",Sarah Death,"=""0374277893""","=""9780374277895""",0,4.43,"Farrar, Straus and Giroux",Hardcover,530,2015,2013,,2024/08/27,to-read,to-read (#161),to-read,,,,0,0
58526827,"""Tovarășa"" Biografia Elenei Ceaușescu",Lavinia Betea,"Betea, Lavinia",,"=""""","=""""",3,3.94,"Corint Istorie autori români, 2021",Paperback,394,2021,2021,2024/08/08,2024/06/20,owned,owned (#4),read,,,,1,0
50776459,Shape Up: Stop Running in Circles and Ship Work that Matters,Ryan Singer,"Singer, Ryan",Jason Fried,"=""""","=""""",3,4.26,Basecamp,ebook,133,2019,2019,2024/08/01,2023/11/28,,,read,,,,1,0
16165917,De ce este România altfel?,Lucian Boia,"Boia, Lucian",,"=""9735038382""","=""9789735038380""",2,3.84,Humanitas,Paperback,128,2012,2012,2024/06/17,2024/05/08,,,read,,,,1,0
11289,"The Rise of Endymion (Hyperion Cantos, #4)",Dan Simmons,"Simmons, Dan",,"=""0553572989""","=""9780553572988""",0,4.17,Spectra,Mass Market Paperback,709,1998,1997,,2024/05/14,to-read,to-read (#159),to-read,,,,0,0
3977,"Endymion (Hyperion Cantos, #3)",Dan Simmons,"Simmons, Dan",Gary Ruddell,"=""0553572946""","=""9780553572940""",0,4.19,Bantam Spectra,Mass Market Paperback,563,1996,1996,,2024/05/14,to-read,to-read (#158),to-read,,,,0,0
